time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource                                                                                                   
2009-11-26T16:58:20.140Z,33.3148333,-115.7223333,7.241,1.43,ml,18,87,0.03878,0.23,ci,ci14550732,2016-03-09T03:29:08.574Z,"4km SSE of Bombay Beach, CA",earthquake,0.48,1.58,0.175,44,reviewed,ci,ci                                                               
2009-11-13T19:56:04.650Z,33.3395,-115.7181667,6.851,1.52,ml,26,72,0.01818,0.25,ci,ci10496485,2016-03-09T15:34:43.821Z,"2km SE of Bombay Beach, CA",earthquake,0.56,1.22,0.134,57,reviewed,ci,ci                                                                   
2009-11-12T17:24:34.350Z,33.3088333,-115.6763333,6.143,1.49,ml,28,55,0.06463,0.24,ci,ci10496061,2016-03-09T11:57:38.314Z,"7km SE of Bombay Beach, CA",earthquake,0.5,2.14,0.127,45,reviewed,ci,ci                                                                 
2009-09-30T01:16:09.800Z,33.2896667,-115.6816667,13.465,1.38,ml,12,106,0.07621,0.19,ci,ci14517028,2016-03-09T00:33:16.107Z,"8km SE of Bombay Beach, CA",earthquake,1.35,0.65,0.078,42,reviewed,ci,ci                                                              
2009-08-20T08:17:44.790Z,33.3016667,-115.7063333,4.153,0.81,ml,12,68,0.05559,0.2,ci,ci14499836,2016-03-09T10:26:54.582Z,"6km SSE of Bombay Beach, CA",earthquake,0.58,0.93,0.177,8,reviewed,ci,ci                                                                 
2009-08-18T08:15:18.920Z,33.328,-115.6766667,8.253,1.1,ml,32,81,0.05335,0.2,ci,ci14501720,2016-03-08T21:38:11.093Z,"6km ESE of Bombay Beach, CA",earthquake,0.36,0.95,0.105,33,reviewed,ci,ci                                                                     
2009-08-11T06:39:12.360Z,33.296,-115.6693333,6.881,0.4,mh,8,187,0.08506,0.28,ci,ci17229759,2016-03-09T09:02:39.836Z,"8km SE of Bombay Beach, CA",earthquake,8.53,31.61,,0,reviewed,ci,ci                                                                          
2009-08-06T18:04:46.340Z,33.3483333,-115.6995,10.021,1.45,ml,26,83,0.02857,0.28,ci,ci14496640,2016-03-08T23:04:51.011Z,"3km E of Bombay Beach, CA",earthquake,0.59,0.54,0.109,49,reviewed,ci,ci                                                                   
2009-07-16T22:05:41.340Z,33.3006667,-115.7215,6.041,1.1,ml,22,102,0.05274,0.34,ci,ci10439025,2016-03-09T06:08:19.941Z,"6km SSE of Bombay Beach, CA",earthquake,0.55,31.61,0.123,27,reviewed,ci,ci                                                                 
2009-05-29T06:19:24.960Z,33.3485,-115.7126667,3.963,1.3,ml,19,90,0.01771,0.13,ci,ci14464952,2016-03-09T01:50:56.965Z,"2km E of Bombay Beach, CA",earthquake,0.63,0.58,0.127,17,reviewed,ci,ci                                                                     
2009-05-29T02:09:44.220Z,33.3355,-115.7166667,0.321,1.08,ml,19,78,0.02201,0.39,ci,ci14464728,2016-03-09T08:58:05.263Z,"2km SE of Bombay Beach, CA",earthquake,0.8,31.61,0.101,18,reviewed,ci,ci                                                                   
2009-05-20T04:33:49.250Z,33.3106667,-115.7171667,5.171,1.24,ml,16,125,0.04395,0.16,ci,ci10411705,2016-03-09T15:17:02.638Z,"5km SSE of Bombay Beach, CA",earthquake,1.24,0.87,0.077,29,reviewed,ci,ci                                                              
2009-04-25T00:19:29.160Z,33.3333333,-115.727,4.491,1.7,ml,34,42,0.01993,0.18,ci,ci10400265,2016-03-09T04:37:25.330Z,"2km SSE of Bombay Beach, CA",earthquake,0.45,0.42,0.067,40,reviewed,ci,ci                                                                    
2009-04-23T17:24:32.230Z,33.3246667,-115.722,4.316,1.12,ml,16,153,0.02943,0.25,ci,ci10399545,2016-03-09T10:19:05.123Z,"3km SSE of Bombay Beach, CA",earthquake,0.82,0.86,0.116,14,reviewed,ci,ci                                                                  
2009-04-20T06:35:10.870Z,33.329,-115.7031667,8.803,1.17,ml,27,64,0.03448,0.28,ci,ci10397825,2016-03-09T06:02:34.109Z,"4km SE of Bombay Beach, CA",earthquake,0.51,1.34,0.126,18,reviewed,ci,ci                                                                    
2009-04-10T11:52:06.200Z,33.3386667,-115.6923333,10.593,1.4,ml,29,88,0.03697,0.21,ci,ci14443200,2016-03-09T17:08:38.582Z,"4km ESE of Bombay Beach, CA",earthquake,0.43,0.63,0.09,49,reviewed,ci,ci                                                                
2009-04-09T21:54:46.980Z,33.3106667,-115.6908333,4.173,1.53,ml,32,41,0.05488,0.24,ci,ci10115850,2016-03-08T21:28:57.618Z,"6km SE of Bombay Beach, CA",earthquake,0.38,0.64,0.118,50,reviewed,ci,ci                                                                
2009-04-09T19:07:06.840Z,33.3061667,-115.6896667,8.703,2.32,ml,61,79,0.05897,0.33,ci,ci14442688,2016-03-09T04:36:26.840Z,"6km SE of Bombay Beach, CA",earthquake,0.28,0.85,0.123,108,reviewed,ci,ci                                                               
2009-04-09T04:38:36.310Z,33.326,-115.713,6.393,1.31,ml,20,52,0.0315,0.22,ci,ci14442512,2016-03-09T07:29:58.673Z,"3km SE of Bombay Beach, CA",earthquake,0.41,1.18,0.09,14,reviewed,ci,ci                                                                          
2009-04-08T23:10:26.470Z,33.3243333,-115.7148333,4.103,0.8,mh,6,178,0.03215,0.08,ci,ci13653759,2016-03-08T22:56:46.297Z,"3km SSE of Bombay Beach, CA",earthquake,0.78,2.08,,0,reviewed,ci,ci                                                                      
2009-04-08T23:09:11.190Z,33.3218333,-115.726,5.343,1.08,ml,13,94,0.0313,0.15,ci,ci14442448,2016-03-09T17:08:21.400Z,"3km SSE of Bombay Beach, CA",earthquake,0.56,0.54,0.141,9,reviewed,ci,ci                                                                     
2009-04-08T22:56:54.390Z,33.3143333,-115.7343333,4.123,2.31,ml,53,35,0.0382,0.24,ci,ci14442440,2016-03-08T19:49:49.505Z,"4km S of Bombay Beach, CA",earthquake,0.25,0.41,0.122,112,reviewed,ci,ci                                                                 
2009-04-08T22:09:43.630Z,33.313,-115.7346667,3.873,1.47,ml,15,80,0.03953,0.24,ci,ci14442416,2016-03-09T15:13:31.842Z,"4km S of Bombay Beach, CA",earthquake,0.46,0.8,0.112,12,reviewed,ci,ci                                                                      
2009-04-08T22:04:02.360Z,33.318,-115.7226667,4.153,3.46,ml,40,69,0.03565,0.26,ci,ci14442392,2016-03-08T21:28:51.575Z,"4km SSE of Bombay Beach, CA",earthquake,0.33,0.59,0.106,102,reviewed,ci,ci                                                                  
2009-04-08T22:03:47.320Z,33.3171667,-115.7255,4.843,2.91,ml,59,37,0.03595,0.25,ci,ci10115682,2016-03-09T17:08:19.641Z,"4km S of Bombay Beach, CA",earthquake,0.27,0.48,0.146,56,reviewed,ci,ci                                                                    
2009-04-05T17:58:13.170Z,33.316,-115.7383333,3.953,1.58,ml,29,58,0.03677,0.28,ci,ci14441400,2016-03-09T01:47:50.665Z,"4km S of Bombay Beach, CA",earthquake,0.39,0.58,0.163,47,reviewed,ci,ci                                                                     
2009-04-05T05:53:28.190Z,33.2986667,-115.687,12.483,0.98,ml,15,83,0.06629,0.19,ci,ci14441232,2016-03-09T08:54:20.418Z,"7km SE of Bombay Beach, CA",earthquake,0.52,1.14,0.283,7,reviewed,ci,ci                                                                    
2009-04-04T09:48:14.930Z,33.3145,-115.7378333,4.363,1.85,ml,35,36,0.03821,0.23,ci,ci14440968,2016-03-09T04:36:05.132Z,"4km S of Bombay Beach, CA",earthquake,0.51,0.78,0.132,71,reviewed,ci,ci                                                                    
2009-04-03T10:56:02.160Z,33.3105,-115.6938333,3.613,1.25,ml,8,161,0.05342,0.08,ci,ci14440568,2016-03-09T04:35:59.882Z,"6km SE of Bombay Beach, CA",earthquake,0.73,2.44,0.141,30,reviewed,ci,ci                                                                   
2009-04-01T16:51:10.400Z,33.3001667,-115.705,8.913,1.18,ml,19,74,0.05741,0.27,ci,ci14439840,2016-03-09T08:54:01.795Z,"6km SSE of Bombay Beach, CA",earthquake,0.74,2.18,0.153,9,reviewed,ci,ci                                                                    
2009-04-01T09:03:49.800Z,33.2978333,-115.7028333,5.173,1.49,ml,28,71,0.06028,0.26,ci,ci14439712,2016-03-09T17:07:54.925Z,"6km SSE of Bombay Beach, CA",earthquake,0.4,0.77,0.202,51,reviewed,ci,ci                                                                
2009-04-01T03:10:30.330Z,33.3341667,-115.7068333,8.935,1.51,ml,13,82,0.03589,0.21,ci,ci14439600,2016-03-09T04:35:49.469Z,"3km SE of Bombay Beach, CA",earthquake,0.47,1.75,0.199,5,reviewed,ci,ci                                                                 
2009-03-31T23:47:23.570Z,33.2936667,-115.7083333,3.763,1.04,ml,9,71,0.06239,0.17,ci,ci14439488,2016-03-08T19:49:10.546Z,"7km SSE of Bombay Beach, CA",earthquake,0.89,1.47,0.083,11,reviewed,ci,ci                                                                
2009-03-31T09:05:34.310Z,33.3088333,-115.738,5.763,1.73,ml,44,47,0.04385,0.23,ci,ci14439136,2016-03-09T01:47:30.432Z,"5km S of Bombay Beach, CA",earthquake,0.29,1.14,0.159,68,reviewed,ci,ci                                                                     
2009-03-30T21:09:32.710Z,33.34,-115.7078333,7.675,1.06,ml,14,69,0.03061,0.2,ci,ci14438992,2016-03-09T00:21:42.791Z,"3km ESE of Bombay Beach, CA",earthquake,0.53,1.66,0.088,8,reviewed,ci,ci                                                                      
2009-03-30T19:26:44.380Z,33.3013333,-115.7086667,12.795,1.48,ml,20,54,0.06554,0.25,ci,ci14438960,2016-03-09T17:07:41.013Z,"6km SSE of Bombay Beach, CA",earthquake,0.58,1.07,0.117,42,reviewed,ci,ci                                                              
2009-03-30T12:06:18.900Z,33.3096667,-115.7083333,7.663,1.52,ml,32,49,0.04765,0.2,ci,ci14438776,2016-03-09T17:07:35.868Z,"5km SSE of Bombay Beach, CA",earthquake,0.38,1.22,0.114,49,reviewed,ci,ci                                                                
2009-03-30T12:00:37.750Z,33.3091667,-115.7053333,8.523,1.59,ml,14,76,0.04924,0.19,ci,ci14438768,2016-03-08T22:56:17.818Z,"5km SSE of Bombay Beach, CA",earthquake,0.6,1.66,0.187,19,reviewed,ci,ci                                                                
2009-03-30T09:29:36.080Z,33.292,-115.717,8.316,1,mh,11,127,0.06197,0.18,ci,ci10113362,2016-03-09T01:47:26.516Z,"7km SSE of Bombay Beach, CA",earthquake,0.89,2.34,,0,reviewed,ci,ci                                                                               
2009-03-30T09:28:30.890Z,33.3083333,-115.7145,5.764,1.37,ml,24,66,0.04687,0.34,ci,ci14438736,2016-03-09T03:11:44.813Z,"5km SSE of Bombay Beach, CA",earthquake,0.56,1.85,0.143,24,reviewed,ci,ci                                                                  
