time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-10T13:08:57.680Z,33.2486667,-115.6908333,2.57,1.65,ml,50,78,0.08687,0.21,ci,ci37452445,2020-08-13T15:06:12.334Z,"12km SSE of Bombay Beach, CA",earthquake,0.17,0.39,0.161,31,reviewed,ci,ci
2020-08-10T15:30:36.880Z,33.2488333,-115.6916667,2.76,2.16,ml,70,46,0.08746,0.2,ci,ci39338359,2020-08-10T23:21:54.740Z,"12km SSE of Bombay Beach, CA",earthquake,0.12,0.28,0.187,29,reviewed,ci,ci
2020-08-10T15:37:59.430Z,33.2463333,-115.6956667,2.75,2.16,ml,67,39,0.08791,0.19,ci,ci39338367,2020-08-10T23:32:55.810Z,"12km SSE of Bombay Beach, CA",earthquake,0.13,0.24,0.202,29,reviewed,ci,ci
2020-08-10T15:39:28.740Z,33.2456667,-115.6923333,2.6,2.64,ml,76,43,0.0855,0.19,ci,ci39338375,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.13,0.27,0.116,26,reviewed,ci,ci
2020-08-10T15:55:48.220Z,33.2506667,-115.6953333,2.52,3.54,ml,47,57,0.09087,0.25,ci,ci39338399,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.27,0.55,0.145,41,reviewed,ci,ci
2020-08-10T15:56:14.330Z,33.2468333,-115.69,2.07,4.59,mw,86,40,0.08504,0.29,ci,ci39338407,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.21,31.61,,7,reviewed,ci,ci
2020-08-10T15:58:16.660Z,33.2436667,-115.6858333,2.4,3.01,ml,47,48,0.08036,0.21,ci,ci39338415,2020-10-21T22:04:04.040Z,"13km SSE of Bombay Beach, CA",earthquake,0.22,0.4,0.267,11,reviewed,ci,ci
2020-08-10T16:00:13.640Z,33.255,-115.6846667,1.91,3.12,ml,76,40,0.08858,0.23,ci,ci39338423,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.16,0.34,0.129,81,reviewed,ci,ci
2020-08-10T16:01:34.260Z,33.2458333,-115.6841667,2.98,2.94,ml,68,40,0.0811,0.22,ci,ci39338431,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.17,0.35,0.151,63,reviewed,ci,ci
2020-08-10T16:02:23.620Z,33.2473333,-115.683,3.11,2.57,ml,62,45,0.08165,0.18,ci,ci39338439,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.14,0.3,0.221,23,reviewed,ci,ci
2020-08-10T16:03:39.160Z,33.2503333,-115.688,2.31,3.95,mw,113,36,0.0866,0.23,ci,ci39338447,2020-10-21T22:04:04.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.13,0.3,,4,reviewed,ci,ci
2020-08-10T16:03:59.830Z,33.2445,-115.6853333,4.51,2.83,ml,32,70,0.08071,0.24,ci,ci37452069,2020-10-21T22:04:12.040Z,"12km SSE of Bombay Beach, CA",earthquake,0.37,1.17,0.1,4,reviewed,ci,ci
2020-08-10T16:04:49.380Z,33.2421667,-115.6733333,2.66,2.87,ml,20,75,0.07265,0.16,ci,ci37452061,2020-10-21T22:04:06.040Z,"13km SSE of Bombay Beach, CA",earthquake,0.33,0.48,0.174,3,reviewed,ci,ci
2020-08-10T16:08:35.340Z,33.2546667,-115.681,2.15,2.03,ml,46,41,0.08654,0.21,ci,ci39338471,2020-08-13T16:20:21.440Z,"12km SSE of Bombay Beach, CA",earthquake,0.19,0.4,0.153,55,reviewed,ci,ci
2020-08-10T16:09:13.630Z,33.2438333,-115.674,3.07,1.66,ml,24,77,0.07432,0.29,ci,ci37452469,2020-08-13T17:00:17.175Z,"13km SSE of Bombay Beach, CA",earthquake,0.37,31.61,0.15,9,reviewed,ci,ci
2020-08-10T16:09:30.880Z,33.2485,-115.6781667,2.57,1.9,ml,38,46,0.08014,0.22,ci,ci37452461,2020-08-13T16:34:30.290Z,"12km SSE of Bombay Beach, CA",earthquake,0.23,0.46,0.152,37,reviewed,ci,ci
2020-08-10T16:12:10.460Z,33.2455,-115.6778333,4.73,1.57,ml,48,106,0.1165,0.2,ci,ci39338463,2020-08-13T17:19:00.285Z,"13km SSE of Bombay Beach, CA",earthquake,0.21,0.73,0.176,25,reviewed,ci,ci
2020-08-10T16:13:56.000Z,33.232,-115.6935,3.27,3.73,mw,121,39,0.07689,0.24,ci,ci39338487,2020-10-21T22:04:04.040Z,"14km SSE of Bombay Beach, CA",earthquake,0.11,0.26,,4,reviewed,ci,ci
2020-08-10T16:16:57.320Z,33.2498333,-115.6618333,7.79,1.93,ml,36,77,0.07422,0.22,ci,ci39338511,2020-08-13T21:52:39.875Z,"13km SSE of Bombay Beach, CA",earthquake,0.27,0.7,0.053,4,reviewed,ci,ci
2020-08-10T16:17:04.710Z,33.2518333,-115.674,2.85,1.51,ml,26,75,0.08095,0.26,ci,ci37296940,2020-08-13T21:42:41.822Z,"12km SSE of Bombay Beach, CA",earthquake,0.71,1,0.197,5,reviewed,ci,ci
2020-08-10T16:17:32.850Z,33.2483333,-115.6803333,2.65,1.23,ml,12,73,0.08908,0.2,ci,ci37296948,2020-08-13T21:03:04.669Z,"12km SSE of Bombay Beach, CA",earthquake,0.61,0.98,0.08,3,reviewed,ci,ci
2020-08-10T16:18:32.150Z,33.25,-115.6836667,3.03,1.31,ml,42,70,0.08409,0.19,ci,ci39338495,2020-08-13T17:44:29.427Z,"12km SSE of Bombay Beach, CA",earthquake,0.23,0.37,0.113,20,reviewed,ci,ci
2020-08-10T16:19:13.160Z,33.2408333,-115.679,5.29,1.41,ml,25,60,0.0745,0.21,ci,ci37452557,2020-08-13T22:20:41.202Z,"13km SSE of Bombay Beach, CA",earthquake,0.28,0.81,0.22,10,reviewed,ci,ci
2020-08-10T16:19:49.540Z,33.2526667,-115.6853333,2.93,1.49,ml,44,56,0.08705,0.19,ci,ci39338503,2020-08-13T20:00:53.030Z,"12km SSE of Bombay Beach, CA",earthquake,0.23,0.36,0.118,13,reviewed,ci,ci
2020-08-10T16:21:35.380Z,33.2465,-115.6655,2.47,1.76,ml,36,43,0.07273,0.26,ci,ci39338527,2020-08-14T18:42:24.084Z,"13km SSE of Bombay Beach, CA",earthquake,0.35,0.7,0.154,58,reviewed,ci,ci
2020-08-10T16:22:38.090Z,33.252,-115.6803333,3.09,1.36,ml,53,57,0.08404,0.21,ci,ci39338519,2020-08-13T18:41:58.862Z,"12km SSE of Bombay Beach, CA",earthquake,0.17,0.4,0.125,25,reviewed,ci,ci
2020-08-10T16:23:13.880Z,33.2558333,-115.675,3.15,1.15,ml,29,63,0.08373,0.22,ci,ci37452501,2020-08-13T18:26:27.206Z,"12km SSE of Bombay Beach, CA",earthquake,0.23,0.42,0.147,12,reviewed,ci,ci
2020-08-10T16:25:14.230Z,33.2521667,-115.6796667,3.04,1.63,ml,53,47,0.08385,0.21,ci,ci37452525,2020-08-13T19:49:17.625Z,"12km SSE of Bombay Beach, CA",earthquake,0.15,0.3,0.152,34,reviewed,ci,ci
2020-08-10T16:25:39.450Z,33.2358333,-115.6988333,3.28,1.77,ml,67,46,0.08277,0.19,ci,ci39338535,2020-08-13T18:59:13.260Z,"13km SSE of Bombay Beach, CA",earthquake,0.12,0.28,0.193,34,reviewed,ci,ci
2020-08-10T16:26:07.640Z,33.2548333,-115.6933333,2.8,1.34,ml,28,75,0.09291,0.31,ci,ci37452549,2020-08-13T22:40:10.139Z,"11km SSE of Bombay Beach, CA",earthquake,0.44,0.77,0.125,6,reviewed,ci,ci
2020-08-10T16:26:21.810Z,33.246,-115.68,3.47,1.45,ml,29,71,0.07905,0.19,ci,ci37452541,2020-08-13T20:00:34.861Z,"13km SSE of Bombay Beach, CA",earthquake,0.22,0.41,0.222,17,reviewed,ci,ci
2020-08-10T16:31:23.840Z,33.2533333,-115.6841667,2.51,2.14,ml,66,40,0.08699,0.17,ci,ci39338543,2020-08-11T15:57:15.060Z,"12km SSE of Bombay Beach, CA",earthquake,0.11,0.23,0.107,20,reviewed,ci,ci
2020-08-10T16:31:41.520Z,33.2556667,-115.68,2.94,2.27,ml,68,36,0.0869,0.21,ci,ci39338551,2020-08-11T16:27:55.406Z,"12km SSE of Bombay Beach, CA",earthquake,0.13,0.29,0.117,23,reviewed,ci,ci
2020-08-10T16:32:07.250Z,33.2335,-115.6861667,4.85,2.05,ml,45,70,0.07325,0.22,ci,ci37452189,2020-08-11T17:15:07.897Z,"14km SSE of Bombay Beach, CA",earthquake,0.4,1.04,0.109,13,reviewed,ci,ci
2020-08-10T16:32:21.180Z,33.2531667,-115.678,3.14,1.68,ml,8,76,0.08389,0.17,ci,ci37452341,2020-08-12T16:42:52.292Z,"12km SSE of Bombay Beach, CA",earthquake,0.35,0.6,0.063,2,reviewed,ci,ci
2020-08-10T16:32:52.680Z,33.2518333,-115.6763333,3.33,1.59,ml,49,54,0.08201,0.17,ci,ci39338559,2020-08-13T20:43:22.220Z,"12km SSE of Bombay Beach, CA",earthquake,0.15,0.28,0.156,21,reviewed,ci,ci
2020-08-10T16:33:09.830Z,33.2523333,-115.6715,3.69,1.67,ml,37,76,0.08028,0.22,ci,ci37452581,2020-08-13T20:54:25.490Z,"12km SSE of Bombay Beach, CA",earthquake,0.31,0.56,0.098,13,reviewed,ci,ci
2020-08-10T16:34:51.490Z,33.2495,-115.6628333,5.93,1.12,ml,34,84,0.0743,0.29,ci,ci37452597,2020-08-13T21:29:17.737Z,"13km SSE of Bombay Beach, CA",earthquake,0.47,1.01,0.152,14,reviewed,ci,ci
2020-08-10T16:35:08.920Z,33.2458333,-115.6896667,2.65,1.69,ml,61,44,0.08411,0.18,ci,ci39338575,2020-08-13T21:16:53.840Z,"12km SSE of Bombay Beach, CA",earthquake,0.13,0.26,0.18,29,reviewed,ci,ci
2020-08-10T16:39:45.550Z,33.236,-115.6971667,3.88,1.57,ml,24,64,0.0818,0.23,ci,ci39338583,2020-08-10T21:14:20.648Z,"13km SSE of Bombay Beach, CA",earthquake,0.33,0.91,0.151,48,reviewed,ci,ci
2020-08-10T16:41:13.970Z,33.264,-115.668,2.77,2.04,ml,50,41,0.07611,0.21,ci,ci39338591,2020-08-11T02:25:37.960Z,"11km SSE of Bombay Beach, CA",earthquake,0.2,0.35,0.167,79,reviewed,ci,ci
2020-08-10T16:41:42.420Z,33.2618333,-115.6755,2.16,1.41,ml,11,71,0.0827,0.25,ci,ci37452349,2020-08-12T16:43:52.354Z,"11km SSE of Bombay Beach, CA",earthquake,0.59,1.5,,1,reviewed,ci,ci
2020-08-10T16:42:24.680Z,33.2415,-115.6643333,8.38,1.36,ml,15,79,0.06793,0.3,ci,ci37452573,2020-08-13T21:02:00.625Z,"14km W of Niland, CA",earthquake,0.62,1.6,,1,reviewed,ci,ci
