time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-09-30T10:06:45.740Z,33.0418333,-115.5803333,3.18,0.96,ml,6,124,0.003802,0.27,ci,ci37456173,2020-09-30T18:20:24.528Z,"4km E of Westmorland, CA",earthquake,0.87,0.69,0.165,3,reviewed,ci,ci
2020-09-30T10:07:02.630Z,33.0461667,-115.5926667,2.54,1.31,ml,31,46,0.01199,0.21,ci,ci38707714,2020-09-30T18:14:01.142Z,"3km ENE of Westmorland, CA",earthquake,0.22,0.3,0.09,20,reviewed,ci,ci
2020-09-30T10:07:49.470Z,33.0523333,-115.5895,4.42,1.44,ml,22,53,0.01541,0.26,ci,ci37456181,2020-09-30T20:21:22.609Z,"3km ENE of Westmorland, CA",earthquake,0.34,0.62,0.302,10,reviewed,ci,ci
2020-09-30T10:33:50.200Z,33.0385,-115.5886667,3.2,1.24,ml,23,41,0.00568,0.26,ci,ci38707730,2020-09-30T17:20:26.435Z,"3km E of Westmorland, CA",earthquake,0.37,0.41,0.146,19,reviewed,ci,ci
2020-09-30T12:10:08.390Z,33.0333333,-115.5841667,2.16,0.98,ml,5,166,0.005266,0.16,ci,ci37456197,2020-10-07T15:58:46.875Z,"4km E of Westmorland, CA",earthquake,1.81,0.39,0.263,4,reviewed,ci,ci
2020-09-30T12:13:45.490Z,33.004,-115.5415,2.87,0.75,ml,5,183,0.04817,0.29,ci,ci38707794,2020-09-30T16:54:55.806Z,"3km NNW of Brawley, CA",earthquake,2.26,1.57,0.308,2,reviewed,ci,ci
2020-09-30T12:13:45.650Z,33.0118333,-115.554,3.44,0.7,ml,5,179,0.03527,0.3,ci,ci38707786,2020-09-30T16:52:27.608Z,"4km NNW of Brawley, CA",earthquake,4.12,2.19,0.275,2,reviewed,ci,ci
2020-09-30T12:14:25.230Z,33.0266667,-115.5733333,3.4,0.49,ml,5,172,0.01362,0.23,ci,ci37456093,2020-09-30T15:59:32.597Z,"5km ESE of Westmorland, CA",earthquake,3.91,0.86,0.254,2,reviewed,ci,ci
2020-09-30T12:14:39.740Z,32.9851667,-115.5276667,2.16,0.52,ml,4,225,0.06986,0.26,ci,ci37456117,2020-09-30T16:46:22.564Z,"1km NNE of Brawley, CA",earthquake,2.33,1.93,0.268,2,reviewed,ci,ci
2020-09-30T12:49:53.980Z,33.0386667,-115.5808333,2.88,1.26,ml,26,48,0.0009912,0.27,ci,ci38707818,2020-09-30T17:30:15.909Z,"4km E of Westmorland, CA",earthquake,0.39,0.36,0.19,18,reviewed,ci,ci
2020-09-30T12:50:44.700Z,33.0356667,-115.5831667,3.29,1,ml,11,117,0.002793,0.25,ci,ci37456141,2020-09-30T17:59:29.509Z,"4km E of Westmorland, CA",earthquake,0.86,0.55,0.236,3,reviewed,ci,ci
2020-09-30T13:01:59.220Z,33.0356667,-115.5873333,4.6,1.62,ml,40,37,0.005238,0.25,ci,ci38707834,2020-09-30T17:46:12.010Z,"3km E of Westmorland, CA",earthquake,0.28,0.42,0.193,28,reviewed,ci,ci
2020-09-30T13:14:33.580Z,33.0395,-115.5891667,3.35,1.01,ml,24,56,0.00622,0.21,ci,ci38707850,2020-09-30T17:50:50.136Z,"3km E of Westmorland, CA",earthquake,0.35,0.22,0.153,9,reviewed,ci,ci
2020-09-30T21:57:12.850Z,33.0326667,-115.5856667,3.43,1.65,ml,20,51,0.006409,0.29,ci,ci39640352,2020-09-30T22:01:00.361Z,"3km E of Westmorland, CA",earthquake,0.48,0.4,0.19,27,automatic,ci,ci
2020-09-30T22:00:14.170Z,33.0376667,-115.5806667,3.73,2.1,ml,28,52,0.0012,0.28,ci,ci39640368,2020-09-30T22:11:29.520Z,"4km E of Westmorland, CA",earthquake,0.48,0.62,0.152,26,automatic,ci,ci
2020-09-30T22:17:37.350Z,33.041,-115.584,3.17,1.87,ml,25,51,0.003248,0.22,ci,ci39640408,2020-09-30T22:21:31.503Z,"4km E of Westmorland, CA",earthquake,0.31,0.36,0.187,26,automatic,ci,ci
2020-09-30T22:28:25.620Z,33.053,-115.5981667,1.48,1.29,ml,12,121,0.02006,0.24,ci,ci39640424,2020-09-30T22:32:12.504Z,"3km NE of Westmorland, CA",earthquake,0.71,0.45,0.231,15,automatic,ci,ci
2020-09-30T22:54:24.810Z,33.0468333,-115.5836667,3.18,1.17,ml,17,67,0.008676,0.16,ci,ci39640464,2020-10-03T01:00:08.902Z,"4km ENE of Westmorland, CA",earthquake,0.27,0.23,0.211,13,reviewed,ci,ci
2020-09-30T23:00:28.430Z,33.044,-115.5885,5.12,3,ml,54,47,0.007963,0.26,ci,ci39640480,2020-10-09T23:10:04.040Z,"3km ENE of Westmorland, CA",earthquake,0.19,0.43,0.179,57,reviewed,ci,ci
2020-09-30T23:03:55.530Z,33.0515,-115.594,2.88,1.25,ml,16,108,0.01666,0.24,ci,ci39640488,2020-09-30T23:07:44.792Z,"3km ENE of Westmorland, CA",earthquake,0.43,0.49,0.155,12,automatic,ci,ci
2020-09-30T23:04:11.000Z,33.0438333,-115.5975,2.04,1.36,ml,19,61,0.01423,0.2,ci,ci39640496,2020-10-06T19:48:22.061Z,"2km ENE of Westmorland, CA",earthquake,0.28,0.38,0.204,9,reviewed,ci,ci
2020-09-30T23:04:24.940Z,33.0438333,-115.5871667,3.17,1.88,ml,19,53,0.007098,0.19,ci,ci39640504,2020-09-30T23:08:27.905Z,"3km ENE of Westmorland, CA",earthquake,0.42,0.49,0.213,27,automatic,ci,ci
2020-09-30T23:05:32.530Z,33.0376663,-115.5908356,1.54,1.43,ml,13,101,0.007521,0.18,ci,ci39640512,2020-09-30T23:07:37.388Z,"3km E of Westmorland, CA",earthquake,0.7,0.44,0.248,8,automatic,ci,ci
2020-09-30T23:05:39.930Z,33.0376667,-115.5861667,3.3,2.67,ml,66,31,0.003624,0.24,ci,ci39640520,2020-10-09T23:44:41.040Z,"3km E of Westmorland, CA",earthquake,0.15,0.28,0.176,24,reviewed,ci,ci
2020-09-30T23:06:02.610Z,33.0453333,-115.59,3.43,3.65,mw,82,46,0.009794,0.27,ci,ci39640528,2020-10-10T00:58:08.810Z,"3km ENE of Westmorland, CA",earthquake,0.15,0.29,,4,reviewed,ci,ci
2020-09-30T23:08:25.660Z,33.0443333,-115.5895,3.12,3.12,ml,80,46,0.008794,0.26,ci,ci39640536,2020-10-10T02:08:17.040Z,"3km ENE of Westmorland, CA",earthquake,0.15,0.26,0.134,149,reviewed,ci,ci
2020-09-30T23:09:25.430Z,33.0138333,-115.5543333,1.05,2.1,ml,12,84,0.03362,0.24,ci,ci39640544,2020-10-01T00:25:30.730Z,"4km NNW of Brawley, CA",earthquake,0.65,31.61,0.179,3,automatic,ci,ci
2020-09-30T23:12:04.130Z,33.0496667,-115.5823333,2.42,1.66,ml,14,57,0.01138,0.22,ci,ci37457277,2020-10-06T20:29:29.583Z,"4km ENE of Westmorland, CA",earthquake,0.3,0.36,0.137,3,reviewed,ci,ci
2020-09-30T23:12:32.800Z,33.0411667,-115.5896667,1.71,1.71,ml,25,47,0.007131,0.26,ci,ci39640552,2020-10-06T20:15:59.502Z,"3km E of Westmorland, CA",earthquake,0.3,0.37,0.191,13,reviewed,ci,ci
2020-09-30T23:12:46.590Z,33.052,-115.5913333,5.57,2.86,ml,72,46,0.01582,0.25,ci,ci39640560,2020-10-10T02:54:09.040Z,"3km ENE of Westmorland, CA",earthquake,0.16,0.44,0.184,33,reviewed,ci,ci
2020-09-30T23:13:26.390Z,33.0381667,-115.5805,3.28,2.44,ml,56,48,0.001188,0.23,ci,ci37457157,2020-10-05T20:15:10.860Z,"4km E of Westmorland, CA",earthquake,0.19,0.36,0.183,8,reviewed,ci,ci
2020-09-30T23:13:37.480Z,33.0423333,-115.5801667,3.88,2.9,ml,69,48,0.004318,0.26,ci,ci39640568,2020-10-10T03:04:03.040Z,"4km E of Westmorland, CA",earthquake,0.16,0.33,0.181,29,reviewed,ci,ci
2020-09-30T23:13:52.840Z,33.0376667,-115.5931667,3.19,2.6,ml,56,37,0.009474,0.24,ci,ci37457149,2020-10-10T03:10:59.040Z,"3km E of Westmorland, CA",earthquake,0.2,0.28,0.14,16,reviewed,ci,ci
2020-09-30T23:14:21.800Z,33.0171667,-115.5426667,3.52,2.92,ml,19,83,0.03911,0.34,ci,ci39640584,2020-10-10T03:15:47.040Z,"4km NNW of Brawley, CA",earthquake,0.84,0.58,0.226,14,reviewed,ci,ci
2020-09-30T23:15:24.530Z,33.0483333,-115.5878333,3.36,2.84,ml,42,47,0.01121,0.22,ci,ci39640680,2020-10-10T04:04:34.040Z,"3km ENE of Westmorland, CA",earthquake,0.29,0.44,0.124,7,reviewed,ci,ci
2020-09-30T23:15:30.950Z,33.0476667,-115.5966667,2.84,3.53,mw,54,46,0.01554,0.26,ci,ci39640688,2020-10-10T04:29:15.423Z,"3km ENE of Westmorland, CA",earthquake,0.22,0.33,,4,reviewed,ci,ci
2020-09-30T23:19:08.140Z,33.0358333,-115.574,3.12,2.08,ml,25,53,0.007071,0.24,ci,ci39640840,2020-09-30T23:23:02.090Z,"4km E of Westmorland, CA",earthquake,0.42,0.47,0.145,27,automatic,ci,ci
2020-09-30T23:19:48.390Z,33.0478333,-115.5911667,5.37,3.02,ml,83,47,0.01231,0.25,ci,ci39640848,2020-10-10T23:37:20.040Z,"3km ENE of Westmorland, CA",earthquake,0.13,0.34,0.184,30,reviewed,ci,ci
2020-09-30T23:20:16.370Z,33.047,-115.5876667,3.1,2.51,ml,35,47,0.009967,0.19,ci,ci39640856,2020-10-10T23:52:16.040Z,"3km ENE of Westmorland, CA",earthquake,0.19,0.25,0.14,13,reviewed,ci,ci
2020-09-30T23:21:09.080Z,33.0421667,-115.5948333,2.82,2.65,ml,58,46,0.01153,0.27,ci,ci39640864,2020-10-11T00:26:12.040Z,"2km ENE of Westmorland, CA",earthquake,0.17,0.3,0.152,26,reviewed,ci,ci
2020-09-30T23:24:19.570Z,33.0426667,-115.5843333,3.22,2.36,ml,30,47,0.004843,0.21,ci,ci39641000,2020-09-30T23:34:48.210Z,"4km E of Westmorland, CA",earthquake,0.31,0.4,0.164,26,automatic,ci,ci
2020-09-30T23:24:41.620Z,33.0423333,-115.585,3.2,2.39,ml,25,57,0.004821,0.25,ci,ci39641008,2020-09-30T23:28:33.762Z,"3km E of Westmorland, CA",earthquake,0.44,0.51,0.156,33,automatic,ci,ci
2020-09-30T23:27:23.760Z,33.0458333,-115.5853333,3.54,1.62,ml,16,104,0.008081,0.19,ci,ci39641024,2020-09-30T23:31:09.951Z,"4km ENE of Westmorland, CA",earthquake,0.39,0.32,0.187,28,automatic,ci,ci
2020-09-30T23:29:00.390Z,33.051,-115.587,2.98,2.14,ml,23,48,0.01341,0.24,ci,ci39641040,2020-09-30T23:32:45.960Z,"4km ENE of Westmorland, CA",earthquake,0.39,0.51,0.212,26,automatic,ci,ci
2020-09-30T23:30:43.720Z,33.039,-115.5915,3.18,2.82,ml,70,44,0.008089,0.26,ci,ci39641048,2020-10-11T00:37:53.040Z,"3km E of Westmorland, CA",earthquake,0.15,0.25,0.14,32,reviewed,ci,ci
2020-09-30T23:31:11.260Z,33.0433333,-115.5871667,3.23,2.88,ml,19,59,0.006715,0.19,ci,ci39641056,2020-10-11T02:25:06.040Z,"3km ENE of Westmorland, CA",earthquake,0.49,0.55,0.21,8,reviewed,ci,ci
2020-09-30T23:31:51.790Z,33.053,-115.5955,4.78,4.35,mw,97,46,0.01861,0.3,ci,ci39641064,2020-10-11T02:53:32.592Z,"3km NE of Westmorland, CA",earthquake,0.17,0.41,,4,reviewed,ci,ci
2020-09-30T23:33:34.050Z,33.0485,-115.5971667,3.1,3.37,ml,15,80,0.01639,0.23,ci,ci39641072,2020-10-11T02:55:27.040Z,"3km ENE of Westmorland, CA",earthquake,0.66,0.67,0.152,16,reviewed,ci,ci
2020-09-30T23:34:08.200Z,33.0443333,-115.5866667,3.84,2.88,ml,40,47,0.007256,0.21,ci,ci39641080,2020-10-11T03:02:18.040Z,"3km ENE of Westmorland, CA",earthquake,0.2,0.39,0.163,23,reviewed,ci,ci
